Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
1,63695,Raionul BRICENI,Район Бричень,or. BRICENI,г. Бричень,,
1,63695,Raionul BRICENI,Район Бричень,or. LIPCANI,г. Липкань,,
1,63695,Raionul BRICENI,Район Бричень,BALASINEŞTI,Баласинешть,,
1,63695,Raionul BRICENI,Район Бричень,BĂLCĂUŢI,Бэлкэуць,,
1,63695,Raionul BRICENI,Район Бричень,BELEAVINŢI,Белявинць,,
1,63695,Raionul BRICENI,Район Бричень,BERLINŢI,Берлинць,,
1,63695,Raionul BRICENI,Район Бричень,BOGDĂNEŞTI,Богдэнешть,,
1,63695,Raionul BRICENI,Район Бричень,BULBOACA,Булбоака,,
1,63695,Raionul BRICENI,Район Бричень,CARACUŞENII VECHI,Каракушений Векь,,
1,63695,Raionul BRICENI,Район Бричень,COLICĂUŢI,Коликэуць,,
1,63695,Raionul BRICENI,Район Бричень,CORJEUŢI,Коржеуць,,
1,63695,Raionul BRICENI,Район Бричень,COTEALA,Котяла,,
1,63695,Raionul BRICENI,Район Бричень,COTIUJENI,Котюжень,,
1,63695,Raionul BRICENI,Район Бричень,CRIVA,Крива,,
1,63695,Raionul BRICENI,Район Бричень,DREPCĂUŢI,Дрепкэуць,,
1,63695,Raionul BRICENI,Район Бричень,GRIMĂNCĂUŢI,Гримэнкэуць,,
1,63695,Raionul BRICENI,Район Бричень,HALAHORA DE SUS,Халахора де Сус,,
1,63695,Raionul BRICENI,Район Бричень,HLINA,Хлина,,
1,63695,Raionul BRICENI,Район Бричень,LARGA,Ларга,,
1,63695,Raionul BRICENI,Район Бричень,MĂRCĂUŢI,Мэркэуць,,
1,63695,Raionul BRICENI,Район Бричень,MEDVEJA,Медвежа,,
1,63695,Raionul BRICENI,Район Бричень,MIHĂILENI,Михэйлень ,,
1,63695,Raionul BRICENI,Район Бричень,PERERÎTA,Перерыта,,
1,63695,Raionul BRICENI,Район Бричень,SLOBOZIA-ŞIRĂUŢI,Слобозия-Ширэуць  ,,
1,63695,Raionul BRICENI,Район Бричень,ŞIRĂUŢI,Ширэуць,,
1,63695,Raionul BRICENI,Район Бричень,TABANI,Табань,,
1,63695,Raionul BRICENI,Район Бричень,TEŢCANI,Тецкань,,
1,63695,Raionul BRICENI,Район Бричень,TREBISĂUŢI,Требисэуць,,
1,63695,Raionul OCNIȚA,Район Окница,CORESTĂUŢI,Корестэуць ,,
1,63695,Raionul OCNIȚA,Район Окница,HĂDĂRĂUŢI,Хэдэрэуць  ,,
2,64768,Raionul OCNIȚA,Район Окница,or. OCNIȚA,г. Окница,,
2,64768,Raionul OCNIȚA,Район Окница,or. OTACI,г. Отачь,,
2,64768,Raionul OCNIȚA,Район Окница,or. FRUNZĂ,г. Фрунзэ,,
2,64768,Raionul OCNIȚA,Район Окница,BÎRLĂDENI,Бырлэдень  ,,
2,64768,Raionul OCNIȚA,Район Окница,BÎRNOVA,Бырнова  ,,
2,64768,Raionul OCNIȚA,Район Окница,CALARAŞOVCA,Каларашовка,,
2,64768,Raionul OCNIȚA,Район Окница,CLOCUŞNA,Клокушна  ,,
2,64768,Raionul OCNIȚA,Район Окница,DÎNGENI,Дынджень  ,,
2,64768,Raionul OCNIȚA,Район Окница,GÎRBOVA,Гырбова  ,,
2,64768,Raionul OCNIȚA,Район Окница,GRINĂUŢI-MOLDOVA,Гринэуць-Молдова,,
2,64768,Raionul OCNIȚA,Район Окница,LENCĂUŢI,Ленкэуць  ,,
2,64768,Raionul OCNIȚA,Район Окница,LIPNIC,Липник  ,,
2,64768,Raionul OCNIȚA,Район Окница,MEREŞEUCA,Мерешеука,,
2,64768,Raionul OCNIȚA,Район Окница,MIHĂLĂŞENI,Михэлэшень  ,,
2,64768,Raionul OCNIȚA,Район Окница,NASLAVCEA,Наславча,,
2,64768,Raionul OCNIȚA,Район Окница,com. OCNIŢA,с. Окница  ,,
2,64768,Raionul OCNIȚA,Район Окница,SAUCA,Саука  ,,
2,64768,Raionul OCNIȚA,Район Окница,UNGURI,Унгурь,,
2,64768,Raionul OCNIȚA,Район Окница,VĂLCINEŢ,Вэлчинец,,
2,64768,Raionul DONDUȘENI,Район Дондушень,or. DONDUȘENI,г. Дондушень,,
