polling_station_number,address,district_number
23/1,"Gimnaziul nr.49, (tel. 022 524113)",23
23/2,"Şcoala profesională nr.4, (tel. 022 525105, 022 525174)",23
23/3,"Sala de fitness, str. Băcioii Noi nr.14",23
23/4,"Instituția de educație timpurie nr.123, orășelul Aeroport, (str. Dante, 7)",23
23/5,"Gimnaziul ""Galata"", (tel. 022 524490)",23
23/6,Instituția de educație timpurie nr. 104 (tel. 022 553093),23
23/7,"Gimnaziul nr.31, (tel. 022 553093)",23
23/8,"Gimnaziul nr.31, (tel. 022 553093)",23
23/9,"Instituția de educație timpurie nr.44, str. Dante, 7, (tel. 022 558315)",23
23/10,"Instituția de educație timpurie nr.181, (tel. 022 775444)",23
23/11,"Colegiul de Ecologie din Chişinău, (tel. 022 523202)",23
23/12,"Liceul Teoretic ""Mircea cel Bătrân"", (tel. 022 555212)",23
23/13,"Instituția Publică Centrul de Excelență în Transporturi, căminul nr. 2 (tel. 022 523426)",23
23/14,"Instituția Publică Centrul de Excelență în Informatică și Tehnologii Informaționale, (tel. 022 523296)",23
23/15,"Liceul Teoretic ”Mihai Grecu”, (tel. 022 768661)",23
23/16,"Şcoala primară a Liceului Dimitrie Cantemir, (tel. 022 766722)",23
23/17,"Liceul Teoretic ""Nicolae Iorga"", (tel. 022 766653)",23
23/18,"Instituția de educație timpurie nr.49, (tel. 022 773447)",23
23/19,"Centrul de Creaţie al Copiilor ""Luceafărul"", (tel. 022 778929, 022 770441)",23
23/20,"Liceul Teoretic ""Traian"" din mun. Chișinău, (tel. 022 661401)",23
23/21,"Centrul Medicilor de Familie nr.2, Asociația Medicală Teritorială Botanica, (tel. 022 770463)",23
23/22,"Liceul Teoretic rus-ucrainean ""Petru Movilă""",23
23/23,"Instituția de educație timpurie nr.182, (tel. 022 765593)",23
23/24,"Instituția de educație timpurie nr.153, (tel. 022 766922)",23
23/25,"Instituția Medico-Sanitară Publică Institutul Mamei şi Copilului, (tel. 022 553321)",23
23/26,"Instituția de educație timpurie nr.168, (tel. 022 765655)",23
23/27,"Școala Profesională nr.5, (str. Burebista, 66)",23
23/28,"Instituția de educație timpurie nr.180, (tel. 022 774826, 022 775455)",23
24/1,"Universitatea Tehnică din Moldova, Facultatea Urbanism şi Arhitectură, (tel. 022 564267, 022 773803)",24
24/2,"Centrul Republican de Instruire al Serviciului protecției civile și situațiilor excepționale, (tel. 022 774400)",24
24/3,"Liceul Teoretic ""Traian"" din mun. Chișinău, (tel. 022 765722)",24
24/4,"Teatrul Dramatic de Stat pentru tineret „S ULIȚÎ ROZ”, (tel. 022 764622)",24
24/5,"Liceul Teoretic ""Dimitrie Cantemir"", (tel. 022 772514)",24
24/6,"Centrul Orăşenesc al Tinerilor Naturalişti, (tel. 022 763566, 022 564520)",24
24/7,"Centrul de recuperare activă și reintegrarea socială a copiilor și tinerilor cu handicap fizic, (tel. 022 763597)",24
